a	ɐ
aa	ɐ ɐ
aaas	ɐ ɐ ɐ s
aabic	ɐ ɐ b i k
aacd	ɐ ɐ k d ʒ
aaleniano	ɐ ɐ l e n i ɐ n o
aardvark	ɐ ɹ d i v ɐ ɹ k i
aaron	ɐ ɐ ɾ õ
aarão	ɐ ɐ ɾ ɐ̃ ɐ̃w̃
aarônica	ɐ ɐ ɾ o n i k ɐ
aarônicas	ɐ ɐ ɾ o n i k ɐ s
aarônico	ɐ ɐ ɾ o n i k o
aarônicos	ɐ ɐ ɾ o n i k o s
aasp	ɐ ɐ s p
ab	ɐ b
aba	ɐ b ɐ
ababangai	ɐ b ɐ b ɐ̃ ɡ ɐ ɾ
abac	ɐ b ɐ k
abacado	ɐ b ɐ k ɐ d o
abacalhoado	ɐ b ɐ k ɐ ʎ o ɐ d o
abacar	ɐ b ɐ k ɐ ɹ
abacatal	ɐ b ɐ k ɐ t ɐ w
abacate	ɐ b ɐ k ɐ t ʃ i
abacateira	ɐ b ɐ k ɐ t e ɾ ɾ ɐ
abacateiral	ɐ b ɐ k ɐ t e ɾ ɾ ɐ w
abacateiro	ɐ b ɐ k ɐ t e ɾ ɾ o
abacaxi	ɐ b ɐ k ɐ ʃ i
abacaxis	ɐ b ɐ k ɐ ʃ i j s
abacaxizal	ɐ b ɐ k ɐ ʃ i z ɐ w
abacaxizeiro	ɐ b ɐ k ɐ ʃ i z e ɾ ɾ o
abacharelado	ɐ b ɐ ʃ ɐ ɾ e l ɐ d o
abacharelar	ɐ b ɐ ʃ ɐ ɾ e l ɐ
abacial	ɐ b ɐ s i ɐ w
abacinar	ɐ b ɐ s i n ɐ
abacisco	ɐ b ɐ s i s k o
abacismo	ɐ b ɐ s i z m o
abacismos	ɐ b ɐ s i z m o s
abacista	ɐ b ɐ s i s t ɐ
abacote	ɐ b ɐ k o t e
abacteriano	ɐ b ɐ k i t e ɾ i ɐ n o
abactinal	ɐ b ɐ k i t i n ɐ w
abacto	ɐ b ɐ k i t o
abactor	ɐ b ɐ k i t o ɹ
abactora	ɐ b ɐ k t o ɾ ɐ
abacá	ɐ b ɐ k ɐ
abada	ɐ b ɐ d ɐ
abadado	ɐ b ɐ d ɐ d o
abadan	ɐ b ɐ d ɐ̃
abade	ɐ b ɐ d ʒ i
abadejo	ɐ b ɐ d e ʒ o
abades	ɐ b ɐ d e s
abadessa	ɐ b ɐ d e s ɐ
abadessas	ɐ b ɐ d e s ɐ s
abadessão	ɐ b ɐ d e s ɐ̃ ɐ̃w̃
abadia	ɐ b ɐ d ʒ i ɐ
abadiado	ɐ b ɐ d i ɐ d o
abadá	ɐ b ɐ d ɐ
abadã	ɐ b ɐ d ɐ̃
abaetetuba	ɐ b ɐ e t e t u b ɐ
abaeté	ɐ b ɐj t ɛ
abafa	ɐ b ɐ f ɐ
abafada	ɐ b ɐ f ɐ d ɐ
abafadamente	ɐ b ɐ f ɐ d ɐ m ẽ t e
abafadas	ɐ b ɐ f ɐ d ɐ s
abafadiço	ɐ b ɐ f ɐ d i s o
abafado	ɐ b ɐ f ɐ d u
abafador	ɐ b ɐ f ɐ d o ɹ
abafadora	ɐ b ɐ f ɐ d o ɾ ɐ
abafamento	ɐ b ɐ f ɐ m ẽ t u
abafamentos	ɐ b ɐ f ɐ m ẽ t o s
abafando	ɐ b ɐ f ɐ̃ d u
abafante	ɐ b ɐ f ɐ̃ t e
abafar	ɐ b ɐ f ɐ ɹ
abafava	ɐ b ɐ f ɐ v ɐ
abafação	ɐ b ɐ f ɐ s ɐ̃ ɐ̃w̃
abafe	ɐ b ɐ f e
abafeira	ɐ b ɐ f e ɾ ɾ ɐ
abafo	ɐ b ɐ f o
abafou	ɐ b ɐ f ow
abafão	ɐ b ɐ f ɐ̃ ɐ̃w̃
abafões	ɐ b ɐ f õ s s
abagge	ɐ b ɐ ɡ ʒ i
abaiara	ɐ b ɐ ɾ ɐ ɾ ɐ
abainhar	ɐ b ɐ i ɲ ɐ
abaitinga	ɐ b ɐ ɾ t ĩ ɡ ɐ
abaixa	ɐ b ɐj ʃ ɐ
abaixador	ɐ b ɐ ɾ ʃ ɐ d o ɹ
abaixamento	ɐ b ɐ ɾ ʃ ɐ m ẽ t o
abaixando	ɐ b ɐj ʃ ɐ̃ d u
abaixar	ɐ b ɐj ʃ ɐ ɹ
abaixo	ɐ b ɐj ʃ u
abaixou	ɐ b ɐj ʃ ow
abajeru	ɐ b ɐ ʒ e ɾ u
abaju	ɐ b ɐ ʒ u
abajur	ɐ b ɐ ʒ u ɹ
abajures	ɐ b ɐ ʒ u ɾ e s
abakan	ɐ b ɐ k ɐ̃
abal	ɐ b ɐw
abala	ɐ b ɐ l ɐ
abalada	ɐ b ɐ l ɐ d ɐ
abaladas	ɐ b ɐ l ɐ d ɐ s
abalado	ɐ b ɐ l ɐ d u
abalados	ɐ b ɐ l ɐ d u s
abalam	ɐ b ɐ l ɐ̃w̃
abalando	ɐ b ɐ l ɐ̃ d u
abalançar	ɐ b ɐ l ɐ̃ s ɐ
abalar	ɐ b ɐ l ɐ ɹ
abalaram	ɐ b ɐ l ɐ ɾ ɐ̃w̃
abalava	ɐ b ɐ l ɐ v ɐ
abalienar	ɐ b ɐ l i e n ɐ
abalienação	ɐ b ɐ l i e n ɐ s ɐ̃ ɐ̃w̃
abalizado	ɐ b ɐ l i z ɐ d o
abalizar	ɐ b ɐ l i z ɐ
abalo	ɐ b ɐ l u
abalos	ɐ b ɐ l u s
abalou	ɐ b ɐ l ow
abalroa	ɐ b ɐ w ʁ o ɐ
abalroamento	ɐ b ɐ w ʁ o ɐ m ẽ t o
abalroar	ɐ b ɐ w ʁ o ɐ
abalroo	ɐ b ɐ w ʁ o o
abalsemado	ɐ b ɐ w s e m ɐ d o
abaluartada	ɐ b ɐ l u ɐ ɹ t ɐ d ɐ
abaluartadas	ɐ b ɐ l u ɐ ɹ t ɐ d ɐ s
abaluartado	ɐ b ɐ l u ɐ ɹ t ɐ d u
abaluartados	ɐ b ɐ l u ɐ ɹ t ɐ d u s
abaluartar	ɐ b ɐ l u ɐ ɹ t ɐ
