aaleniano	a a l e n i ɐ n o
aardvark	a ɻ d͡ʒ i v a ɻ k i
aarão	a a ɾ ɐ̃ w̃
aarônica	a a ɾ o n i k a
aarônicas	a a ɾ o n i k a s
aarônico	a a ɾ o n i k o
aarônicos	a a ɾ o n i k o s
aba	a b a
ababangai	a b a b ɐ̃ ɡ a j
abacado	a b a k a d o
abacalhoado	a b a k a ʎ o a d o
abacar	a b a k a ɻ
abacatal	a b a k a t a w
abacate	a b a k a t e
abacateira	a b a k a t e j ɾ a
abacateiral	a b a k a t e j ɾ a w
abacateiro	a b a k a t e j ɾ o
abacaxi	a b a k a ʃ i
abacaxis	a b a k a ʃ i s
abacaxizal	a b a k a ʃ i z a w
abacaxizeiro	a b a k a ʃ i z e j ɾ o
abacharelado	a b a ʃ a ɾ e l a d o
abacharelar	a b a ʃ a ɾ e l a
abacial	a b a s i a w
abacinar	a b a s i n a
abacisco	a b a s i s k o
abacismo	a b a s i z m o
abacismos	a b a s i z m o s
abacista	a b a s i s t a
abacote	a b a k ɔ t e
abacteriano	a b a k i t e ɾ i ɐ n o
abactinal	a b a k i t͡ʃ i n a w
abacto	a b a k i t o
abactor	a b a k i t o ɻ
abactora	a b a k t o ɾ a
abacá	a b a k a
abada	a b a d a
abadado	a b a d a d o
abadan	a b a d ɐ̃
abade	a b a d e
abadejo	a b a d e ʒ o
abades	a b a d e s
abadessa	a b a d e s a
abadessas	a b a d e s a s
abadessão	a b a d e s ɐ̃ w̃
abadia	a b a d i a
abadiado	a b a d͡ʒ i a d o
abadá	a b a d a
abadã	a b a d ɐ̃
abaetetuba	a b a ɛ t ɛ t u b a
abaeté	a b a ɛ t ɛ
abafa	a b a f a
abafada	a b a f a d a
abafadamente	a b a f a d a m ẽ t e
abafadiço	a b a f a d͡ʒ i s o
abafado	a b a f a d o
abafador	a b a f a d o ɻ
abafadora	a b a f a d o ɾ a
abafamento	a b a f a m ẽ t o
abafamentos	a b a f a m ẽ t o s
abafante	a b a f ɐ̃ t e
abafar	a b a f a
abafava	a b a f a v a
abafação	a b a f a s ɐ̃ w̃
abafe	a b a f e
abafeira	a b a f e j ɾ a
abafo	a b a f o
abafão	a b a f ɐ̃ w̃
abafões	a b a f õ j̃ s
abaiara	a b a j a ɾ a
abainhar	a b a i ɲ a
abaitinga	a b a j t͡ʃ ĩ ɡ a
abaixador	a b a j ʃ a d o ɻ
abaixamento	a b a j ʃ a m ẽ t o
abaixar	a b a j ʃ a
abaixo	a b a j ʃ o
abajeru	a b a ʒ e ɾ u
abaju	a b a ʒ u
abajur	a b a ʒ u ɻ
abajures	a b a ʒ u ɾ e s
abakan	a b a k ɐ̃
abala	a b a l a
abalada	a b a l a d a
abalado	a b a l a d o
abalançar	a b a l ɐ̃ s a
abalar	a b a l a
abalava	a b a l a v a
abalienar	a b a l i e n a
abalienação	a b a l i e n a s ɐ̃ w̃
abalizado	a b a l i z a d o
abalizar	a b a l i z a
abalo	a b a l o
abalou	a b a l o
abalroa	a b a w ʁ o a
abalroamento	a b a w ʁ o a m ẽ t o
abalroar	a b a w ʁ o a
abalroo	a b a w ʁ o o
abalsemado	a b a w s e m a d o
abaluartada	a b a l u a ɻ t a d ɐ
abaluartadas	a b a l u a ɻ t a d ɐ s
abaluartado	a b a l u a ɻ t a d u
abaluartados	a b a l u a ɻ t a d u s
abaluartar	a b a l u a ɻ t a
abalável	a b a l a v e w
abalão	a b a l ɐ̃ w̃
abalões	a b a l õ j̃ s
abamectina	a b a m e k i t͡ʃ i n a
abana	a b ɐ n a
abanar	a b a n a
abanazado	a b a n a z a d o
abanazar	a b a n a z a
abancar	a b ɐ̃ k a
abandalhar	a b ɐ̃ d a ʎ a
abandar	a b ɐ̃ d a
abandeirar	a b ɐ̃ d e j ɾ a
abandião	a b ɐ̃ d͡ʒ i ɐ̃ w̃
abandiões	a b ɐ̃ d͡ʒ i õ j̃ s
abandona	a b ɐ̃ d o n a
abandonada	a b ɐ̃ d o n a d a
abandonadamente	a b ɐ̃ d o n a d a m ẽ t e
abandonadas	a b ɐ̃ d o n a d a s
abandonado	a b ɐ̃ d o n a d o
abandonador	a b ɐ̃ d o n a d o ɻ
abandonados	a b ɐ̃ d o n a d o s
abandonai	a b ɐ̃ d o n a j
abandonais	a b ɐ̃ d o n a j s
abandonam	a b ɐ̃ d o n ɐ̃ w̃
