abc	a b e s e
aeb	a ɛ b e
aids	a j d s
alerj	a l ɛ ɻ ʒ i
alupek	a l u p ɛ k e
am	a e m e
anp	a e n e p e
arie	a ɾ i e
ascii	a s k i
aaleniano	a a l e n i ɐ̃ n u
aarão	a a ɾ ɐ̃w̃
abacar	a b a k a ɻ
abacaxis	a b a k a ʃ i s
abadan	a b a d ɐ̃
abade	a b a d e
abades	a b a d e s
abadã	a b a d ɐ̃
abaetetuba	a b a ɛ t ɛ t u b a
abaeté	a b a ɛ t ɛ
abaiara	a b a j a ɾ a
abaitinga	a b a j t͡ʃ ẽ ɡ a
abakan	a b a k ɐ̃
abaporu	a b a p u ɾ u
abaré	a b a ɾ ɛ
abatiá	a b a t͡ʃ i a
abaíba	a b a i b a
abaíra	a b a i ɾ a
abbeville	a b e v i l e
abcásia	a b i k a z i a
abdala	a b d a l a
abdias	a b i d͡ʒ i a s
abdula	a b d u l a
abecásia	a b e k a z i a
abel	a b ɛ w
abelardo	a b e l a ɻ d u
aberdeen	a b e ɻ d͡ʒ ẽ
abeviliano	a b e v i l i ɐ̃ n u
abidos	a b i d u s
abigail	a b i ɡ a i w
abijã	a b i ʒ ɐ̃
abijão	a b i ʒ ɐ̃w̃
abimeleque	a b i m e l ɛ k e
abissínia	a b i s i n i a
abitur	a b i t u ɻ
abkhazia	a b i k a z i a
abo	a b u
abomei	a b u m e j
abomé	a b u m ɛ
aboukir	a b u k i
abrahão	a b ɾ a ɐ̃w̃
abrantes	a b ɾ ɐ̃ t e s
abrasax	a b ɾ a s a k s
abraão	a b ɾ a ɐ̃w̃
abreu	a b ɾ e w
abruzzo	a b ɾ u z u
abrão	a b ɾ ɐ̃w̃
absalão	a b s a l ɐ̃w̃
abudábi	a b u d a b i
abuja	a b u ʒ a
abundio	a b ũ d͡ʒ i u
abunã	a b u n ɐ̃
abuquir	a b u k i
abílio	a b i l i u
abúndio	a b ũ d͡ʒ i u
acaba	a k a b a
acabe	a k a b e
acaia	a k a j a
acaiaca	a k a j a k a
acajutiba	a k a ʒ u t͡ʃ i b a
acapulco	a k a p u w k u
acaraú	a k a ɾ a u
acarnânia	a k a ɻ n ɐ̃ n i ɐ̃
acaz	a k a j s
accra	a k ɾ a
aceguá	a s e ɡ w a
aceh	a t͡ʃ ɛ
achém	a ʃ ẽj̃
aconcágua	a k õ k a ɡ w a
acra	a k ɾ a
acre	a k ɾ e
acrelândia	a k ɾ e l ɐ̃ d͡ʒ i a
acrópole	a k ɾ ɔ p u l e
acube	a k u b e
acádia	a k a d͡ʒ i a
ada	a d a
adad	a d a d͡ʒ
adalberto	a d a w b ɛ ɻ t u
adalto	a d a w t u
adamantina	a d a m ɐ̃ t͡ʃ i n a
