अ	ɐ
अंश	ɐ̃ ɕ ɐ
अंशक	ɐ̃ ɕ ɐ k ɐ
अंशकरण	ɐ̃ ɕ ɐ k ɐ ɾ ɐ ɳ ɐ
अंशकरणम्	ɐ̃ ɕ ɐ k ɐ ɾ ɐ ɳ ɐ m
अंशु	ɐ̃ ɕ u
अंशुक	ɐ̃ ɕ u k ɐ
अंशुमती	ɐ̃ ɕ u m ɐ t̪ iː
अंशुमत्	ɐ̃ ɕ u m ɐ t̪
अंस	ɐ́ m s ɐ
अंसकूट	ɐ̃ s̪ ɐ k uː ʈ ɐ
अंसत्र	ɐ̃ s̪ ɐ t̪ ɾ ɐ
अंसपृष्ठ	ɐ̃ s̪ ɐ p r̩ ʂ ʈʰ ɐ
अंसफलक	ɐ̃ s ɐ pʰ ɐ l ɐ k ɐ́
अंसल	ɐ̃ s ɐ l ɐ
अंहस्	ɐ́ n ɦ ɐ s
अंहु	ɐ̃ ɦ u
अंह्रि	ɐ̃ ɦ ɾ i
अक	ɐ k ɐ
अकथित	ɐ k ɐ tʰ i t ɐ
अकनिष्ठ	ɐ k ɐ n̪ i ʂ ʈʰ ɐ
अकन्या	ɐ k ɐ n̪ j ɑː
अकम्प्य	ɐ k ɐ m p j ɐ
अकरत्	ɐ k ɐ ɾ ɐ t̪
अकरोत्	ɐ k ɐ ɾ oː t̪
अकर्	ɐ k ɐ ɾ
अकर्ण्य	ɐ k ɐ ɾ ɳ j ɐ
अकर्तिष्यताम्	ɐ k ɐ ɾ t i ʂ j ɐ t ɑː m
अकर्तिष्यत्	ɐ k ɐ ɾ t i ʂ j ɐ t
अकर्तृ	ɐ k ɐ ɾ t r̩
अकर्त्स्यताम्	ɐ k ɐ ɾ t s j ɐ t ɑː m
अकर्त्स्यत्	ɐ k ɐ ɾ t s j ɐ t
अकर्मक	ɐ k ɐ ɾ m ɐ k ɐ
अकर्मन्	ɐ k ɐ ɾ m ɐ n̪
अकस्मात्	ɐ k ɐ s m ɑː t
अकाङ्क्षीत्	ɐ k ɑː ŋ k ʂ iː t
अकाण्ड	ɐ k ɑː ɳ ɖ ɐ
अकाम	ɐ k ɑː m ɐ
अकार	ɐ k ɑː ɾ ɐ
अकारण	ɐ k ɑː ɾ ɐ ɳ ɐ
अकारणम्	ɐ k ɑː ɾ ɐ ɳ ɐ m
अकारणात्	ɐ k ɑː ɾ ɐ ɳ ɑː t
अकारणे	ɐ k ɑː ɾ ɐ ɳ eː
अकारणेन	ɐ k ɑː ɾ ɐ ɳ eː n̪ ɐ
अकार्य	ɐ k ɑː ɾ j ɐ
अकार्षीत्	ɐ k ɑː ɾ ʂ iː t̪
अकाल	ɐ k ɑː l ɐ
अकालतस्	ɐ k ɑː l ɐ t ɐ s
अकाले	ɐ k ɑː l ɐ j
अकाषीत्	ɐ k ɑː ʂ iː t̪
अकिञ्चन	ɐ k i ɲ t͡ɕ ɐ n̪ ɐ
अकीर्ति	ɐ k iː ɾ t i
अकीर्तिकर	ɐ k iː ɾ t i k ɐ ɾ ɐ
अकुशल	ɐ k u ɕ ɐ l̪ ɐ
अकूपार	ɐ k uː p ɑː ɾ ɐ
अकृत	ɐ k r̩ t̪ ɐ
अकृतज्ञ	ɐ k r̩ t ɐ d͡ʑ ɲ ɐ
अकृता	ɐ k r̩ t̪ ɑː
अकृतात्मन्	ɐ k r̩ t ɑː t m ɐ n
अकृतार्थ	ɐ k r̩ t ɑː ɾ tʰ ɐ
अकृत्य	ɐ k r̩ t̪ j ɐ
अकृष्ट	ɐ k r̩ ʂ ʈ ɐ
अकेश	ɐ k eː ɕ ɐ
अक्का	ɐ k k ɑː
अक्त	ɐ k t ɐ́
अक्तु	ɐ k t ú
अक्तुभिस्	ɐ k t ú bʱ i s
अक्तोस्	ɐ k t ɐ́ w s
अक्रन्	ɐ k ɾ ɐ n̪
अक्रूर	ɐ k ɾ uː ɾ ɐ
अक्लान्त	ɐ k l ɑː n t ɐ
अक्लिष्ट	ɐ k l i ʂ ʈ ɐ
अक्ष	ɐ k ʂ ɐ
अक्षत	ɐ k ʂ ɐ t̪ ɐ
अक्षता	ɐ k ʂ ɐ t̪ ɑː
अक्षति	ɐ k ʂ ɐ t̪ i
अक्षन्	ɐ k ʂ ɐ n
अक्षम	ɐ k ʂ ɐ m ɐ
अक्षमा	ɐ k ʂ ɐ m ɑː
अक्षम्य	ɐ k ʂ ɐ m j ɐ
अक्षय	ɐ k ʂ ɐ j ɐ
अक्षयता	ɐ k ʂ ɐ j ɐ t ɑː
अक्षयत्व	ɐ k ʂ ɐ j ɐ t ʋ ɐ
अक्षया	ɐ k ʂ ɐ j ɑː
अक्षय्य	ɐ k ʂ eː j ɐ
अक्षर	ɐ k ʂ ɐ ɾ ɐ
अक्षरसमाम्नाय	ɐ k ʂ ɐ ɾ ɐ s̪ ɐ m ɑː m n̪ ɑː j ɐ
अक्षरा	ɐ k ʂ ɐ ɾ ɑː
अक्षवाट	ɐ k ʂ ɐ ʋ ɑː ʈ ɐ
अक्षहृदय	ɐ k ʂ ɐ ɦ r̩ d ɐ j ɐ
अक्षान्ति	ɐ k ʂ ɑː n t i
अक्षार	ɐ k ʂ ɑː ɾ ɐ
अक्षि	ɐ k ʂ i
अक्षिकूट	ɐ k ʂ i k uː ʈ ɐ
अक्षित	ɐ k ʂ i t̪ ɐ
अक्षितोति	ɐ k ʂ i t̪ oː t̪ i
अक्षिपुट	ɐ k ʂ i p u ʈ ɐ
अक्षीयमाण	ɐ k ʂ iː j ɐ m ɑː ɳ ɐ
अक्षुण्ण	ɐ k ʂ u ɳ ɳ ɐ
अक्षुण्णता	ɐ k ʂ u ɳ ɳ ɐ t ɑː
अक्षोट	ɐ k ʂ oː ʈ ɐ
अक्षोभ	ɐ k ʂ oː bʱ ɐ
अक्षोभ्य	ɐ k ʂ oː bʱ j ɐ
अक्षौहिणी	ɐ k ʂ ɑ w ɦ i ɳ iː
अक्ष्	ɐ k ʂ
अक्ष्णया	ɐ k ʂ ɳ ɐ j ɑː
अखण्ड	ɐ kʰ ɐ ɳ ɖ ɐ
अखनीत्	ɐ kʰ ɐ n̪ iː t̪
अखानीत्	ɐ kʰ ɑː n̪ iː t̪
अखिल	ɐ kʰ i l ɐ
अखिलेन	ɐ kʰ i l ɐ j n ɐ
अग	ɐ ɡ ɐ
अगच्छत	ɐ ɡ ɐ t t͡ɕʰ ɐ t ɐ
अगच्छतम्	ɐ ɡ ɐ t t͡ɕʰ ɐ t ɐ m
अगच्छताम्	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ t̪ ɑː m
अगच्छत्	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ t̪
अगच्छन्	ɐ ɡ ɐ t t͡ɕʰ ɐ n
अगच्छम्	ɐ ɡ ɐ t t͡ɕʰ ɐ m
अगच्छस्	ɐ ɡ ɐ t t͡ɕʰ ɐ s
अगच्छाम	ɐ ɡ ɐ t t͡ɕʰ ɑː m ɐ
अगच्छाव	ɐ ɡ ɐ t t͡ɕʰ ɑː ʋ ɐ
अगच्छे	ɐ ɡ ɐ t t͡ɕʰ ɐ j
अगद	ɐ ɡ ɐ d ɐ́
अगन्	ɐ ɡ ɐ n̪
अगमत्	ɐ ɡ ɐ m ɐ t̪
अगम्य	ɐ ɡ ɐ m j ɐ
अगम्यत	ɐ ɡ ɐ m j ɐ t ɐ
अगम्यागमन	ɐ ɡ ɐ m j ɑː ɡ ɐ m ɐ n ɐ
अगम्ये	ɐ ɡ ɐ m j eː
अगरु	ɐ ɡ ɐ ɾ u
अगस्ति	ɐ ɡ ɐ s t i
अगस्त्य	ɐ ɡ ɐ s t j ɐ
अगात्	ɐ ɡ ɑː t̪
अगाध	ɐ ɡ ɑː dʱ ɐ
अगार	ɐ ɡ ɑː ɾ ɐ
अगिर	ɐ ɡ i ɾ ɐ
अगुण	ɐ ɡ u ɳ ɐ
अगुरु	ɐ ɡ u ɾ u
अगोह्य	ɐ ɡ oː ɦ j ɐ
अग्नि	ɐ ɡ n í
अग्निः	ɐ ɡ n í h
अग्निचित्	ɐ ɡ n i t͡ɕ í t
अग्निपर्वत	ɐ ɡ n i p ɐ ɾ ʋ ɐ t ɐ
अग्निम्	ɐ ɡ n í m
अग्निष्टोम	ɐ ɡ n i ʂ ʈ ɐ w m ɐ́
अग्निष्वात्त	ɐ ɡ n i ʂ ʋ ɑː t t ɐ́
अग्निसात्	ɐ ɡ n i s ɑː t
अग्निहोत्र	ɐ ɡ n i ɦ ɐ w t ɾ ɐ́
अग्नीषोम	ɐ ɡ n íː ʂ ɐ́ w m ɐ
अग्ने	ɐ ɡ n̪ eː
अग्न्याधान	ɐ ɡ n j ɑː dʱ ɑː n ɐ
अग्न्याधेय	ɐ ɡ n i j ɑː dʱ ɐ́ j j ɐ
अग्न्युत्पात	ɐ ɡ n̪ j u t̪ p ɑː t̪ ɐ
अग्र	ɐ ɡ ɾ ɐ
अग्रज	ɐ ɡ ɾ ɐ d͡ʑ ɐ
अग्रतस्	ɐ ɡ ɾ ɐ t ɐ́ s
अग्रहस्त	ɐ ɡ ɾ ɐ ɦ ɐ s t ɐ
अग्रहायण	ɐ ɡ ɾ ɐ ɦ ɑː j ɐ ɳ ɐ
अग्रहीत्	ɐ ɡ ɾ ɐ ɦ iː t̪
अग्रिम	ɐ ɡ ɾ i m ɐ
अग्रू	ɐ ɡ ɾ uː
अघ	ɐ ɡʱ ɐ
अघस्	ɐ ɡʱ ɐ s̪
