aba	a b a
abaka	a b a k a
abakus	a b a k u s
abakusový	a b a k u s ɔ v iː
abatiša	a b a t i ʃ a
abažúr	a b a ʒ uː r
abažúrový	a b a ʒ uː r ɔ v iː
abbé	a bː eː
abcházsko	a p x aː s k ɔ
abcházština	a p x aː ʃ c i n a
abdikácia	a b d i k aː t͡s i a
abdiáš	a b ɟ i aː ʃ
abdominálny	a b d ɔ m i n aː l n i
abdómen	a b d ɔː m e n
abeceda	a b e t͡s e d a
abecedník	a b e t͡s e d ɲ iː k
abecedníka	a b e t͡s e d ɲ iː k a
ablatív	a b l a t iː v
ableizmus	a b l e i z m u s
ablácia	a b l aː t͡s i a
abolicionizmus	a b ɔ l i t͡s i ɔ n i z m u s
abolícia	a b ɔ l iː t͡s i a
abrahám	a b r a ɦ aː m
abrakadabra	a b r a k a d a b r a
abreviácia	a b r e v i aː t͡s i a
absolon	a p s ɔ l ɔ n
absolutizmus	a p s ɔ l u t i z m u s
absolútny	a p s ɔ l uː t n i
absorbovať	a p s ɔ r b ɔ v a c
absorbuje	a p s ɔ r b u j e
absorbujú	a p s ɔ r b u j uː
absorpcia	a p s ɔ r p t͡s i a
abstinentský	a p s c i ɲ e n t͡s k iː
abstrakcionizmus	a p s t r a k t͡s i ɔ n i z m u s
abuja	a b u d͡ʒ a
abája	a b aː j a
acehčina	a t͡s e x t͡ʃ i n a
acetaldehyd	a t͡s e t a l d e ɦ i t
acetylácia	a t͡s e t i l aː t͡s i a
acetát	a t͡s e t aː t
adam	a d a m
adama	a d a m a
adamami	a d a m a m i
adamať	a d a m a c
adamec	a d a m e t͡s
adamech	a d a m e x
adamecová	a d a m e t͡s ɔ v aː
adamiš	a d a m i ʃ
adamko	a d a m k ɔ
adamkovič	a d a m k ɔ v i t͡ʃ
adamoch	a d a m ɔ x
adamom	a d a m ɔ m
adamov	a d a m ɔ v
adamovi	a d a m ɔ v i
adamovia	a d a m ɔ v i̯ a
adamovič	a d a m ɔ v i t͡ʃ
adamus	a d a m u s
adamčo	a d a m t͡ʃ ɔ
adaptovať	a d a p t ɔ v a c
adaptuje	a d a p t u j e
adaptácia	a d a p t aː t͡s i a
adekvátny	a ɟ e k v aː t n i
adela	a d e l a
adelka	a d e l k a
aden	a d e n
adhézia	a d ɦ eː z i a
adjektívum	a d j e k t iː v u m
administratíva	a d m i n i s t r a t iː v a
administrovať	a d m i ɲ i s t r ɔ v a c
administrácia	a d m i n i s t r aː t͡s i a
ado	a d ɔ
adolescencia	a d ɔ l e s t͡s e n t͡s i a
adolescenčný	a d ɔ l e s t͡s e n t͡ʃ n iː
adolf	a d o ɫ f
adoptovať	a d ɔ p t ɔ v a c
adorácia	a d ɔ r aː t͡s i a
adrenalín	a d r e n a l iː n
adrenalínový	a d r e n a ʎ iː n ɔ v iː
adrenalínu	a d r e n a ʎ iː n u
adresa	a d r e s a
adresovať	a d r e s ɔ v a c
adresový	a d r e s ɔ v iː
adresy	a d r e s i
adries	a d r ɪ̯ e s
adrián	a d r i aː n
adriána	a d r i aː n a
adventizmus	a d v e n t i z m u s
advokát	a d v ɔ k aː t
advokátka	a d v ɔ k aː t k a
adygejsko	a d i ɡ e j s k ɔ
adygejčina	a d i ɡ e j t͡ʃ i n a
adámek	a d aː m e k
adámeková	a d aː m e k ɔ v aː
aerodynamický	a e r ɔ d i n a m i t͡s k iː
aerolínia	a e r ɔ l iː n i a
aeronautický	a e r ɔ n a u c i t͡s k iː
aeronautika	a e r ɔ n a v t i k a
afarčina	a f a r t͡ʃ i n a
afatický	a f a c i t͡s k iː
afganistan	a v ɡ a ɲ i s t a n
afixoid	a f i k s ɔ i t
aforizmu	a f ɔ r i z m u
aforizmus	a f ɔ r i z m u s
africký	a v r i t͡s k iː
afrika	a f r i k a
afrike	a f r i k ɛ
afrikou	a f r i k ɔ u̯
afriku	a f r i k u
afriky	a f r i k i
afrikánec	a v r i k aː ɲ e t͡s
afrikánčina	a v r i k aː n t͡ʃ i n a
aglomerácia	a ɡ l ɔ m e r aː t͡s i a
agnesa	a ɡ n e s a
agnosticizmus	a ɡ n ɔ s t i t͡s i z m u s
agnostický	a ɡ n ɔ s c i t͡s k iː
agorafóbia	a ɡ ɔ r a f ɔː b i a
agravácia	a ɡ r a v aː t͡s i a
agregácia	a ɡ r e ɡ aː t͡s i a
agregát	a ɡ r e ɡ aː t
agresia	a ɡ r e s i a
agresívnejší	a ɡ r e s iː v ɲ e j ʃ iː
agresívnosť	a ɡ r e s iː v n ɔ s c
