abcházsko	a p x aː s k ɔ
abdiáš	a b ɟ i aː ʃ
abrahám	a b r a ɦ aː m
absolon	a p s ɔ l ɔ n
abuja	a b u d͡ʒ a
adam	a d a m
adama	a d a m a
adamami	a d a m a m i
adamať	a d a m a c
adamec	a d a m e t͡s
adamech	a d a m e x
adamecová	a d a m e t͡s ɔ v aː
adamiš	a d a m i ʃ
adamko	a d a m k ɔ
adamkovič	a d a m k ɔ v i t͡ʃ
adamoch	a d a m ɔ x
adamom	a d a m ɔ m
adamov	a d a m ɔ v
adamovi	a d a m ɔ v i
adamovia	a d a m ɔ v i̯ a
adamovič	a d a m ɔ v i t͡ʃ
adamus	a d a m u s
adamčo	a d a m t͡ʃ ɔ
adela	a d e l a
adelka	a d e l k a
aden	a d e n
ado	a d ɔ
adolf	a d o ɫ f
adrián	a d r i aː n
adriána	a d r i aː n a
adygejsko	a d i ɡ e j s k ɔ
adámek	a d aː m e k
adámeková	a d aː m e k ɔ v aː
afganistan	a v ɡ a ɲ i s t a n
afrika	a f r i k a
afrike	a f r i k ɛ
afrikou	a f r i k ɔ u̯
afriku	a f r i k u
afriky	a f r i k i
afrikánec	a v r i k aː ɲ e t͡s
agnesa	a ɡ n e s a
agáta	a ɡ aː t a
akkra	a kː r a
alabama	a l a b a m a
alah	a ɫ a x
alan	a ɫ a n
alandy	a ɫ a n d i
albert	a l b e r t
alberta	a l b e r t a
albrecht	a l b r e x t
albánsko	a l b aː n s k ɔ
albín	a ɫ b iː n
albína	a l b iː n a
alena	a l ɛ n a
alexander	a l e k s a n d e r
alexandra	a l e k s a n d r a
alexej	a l ɛ k s ɛ j
aleš	a l ɛ ʃ
alfonz	a ɫ f ɔ n s
alfréd	a ɫ f r ɛː t
alica	a l i t͡s a
aljaška	a lʲ a ʃ k a
alojz	a ɫ ɔ j s
alpami	a l p a m i
alpy	a l p i
alpách	a l p aː x
alpám	a l p aː m
altman	a l t m a n
alánd	a ɫ aː n t
alžbeta	a l ʒ b e t a
alžír	a l ʒ iː r
alžírsko	a l ʒ iː r s k ɔ
ambrož	a m b r ɔ ʃ
ambruš	a m b r u ʃ
ambróz	a m b r ɔ s
amcha	a m x a
američan	a m ɛ r i t͡ʃ a n
američanka	a m e r i t͡ʃ a n k a
ammán	a m aː n
amrich	a m r i x
amália	a m aː l i a
anabela	a n a b e l a
anastázia	a n a s t aː z i a
anaxagoras	a n a k s a ɡ o r a s
andami	a n d a m i
andorra	a n d ɔ rː a
andoč	a n d ɔ t͡ʃ
andrea	a n d r e a
andreides	a n d r e i d e s
andrej	a n d r ɛ j
andrejco	a n d r e j t͡s ɔ
andris	a n d r i s
andruch	a n d r u x
andy	a n d i
andó	a n d ɔː
aneta	a ɲ e t a
anežka	a ɲ e ʃ k a
angela	a n ɡ e l a
angelika	a n ɡ e l i k a
anglicko	a n ɡ ʎ i t͡s k ɔ
angola	a n ɡ ɔ l a
ankara	a n k a r a
anna	a nː a
annu	a n n u
antal	a n t a l
antalovič	a n t a l ɔ v i t͡ʃ
antananarivo	a n t a n a n a r i v ɔ
antl	a n t l̩
antolík	a n t ɔ ʎ iː k
anton	a n t ɔ n
antoš	a n t ɔ ʃ
antálek	a n t aː ʎ e k
antónia	a n t ɔː n i a
ančic	a n t͡ʃ i t͡s
apalovič	a p a l ɔ v i t͡ʃ
argaláš	a r ɡ a l aː ʃ
argentína	a r ɡ e n c iː n a
argentínčan	a r ɡ e n c iː n t͡ʃ a n
argentínčanka	a r ɡ e n t iː n t͡ʃ a n k a
aristoteles	a r i s t ɔ t ɛ l ɛ s
arizona	a r i z ɔ n a
arkansas	a r k a n s a s
arménsko	a r m eː n s k ɔ
arno	a r n ɔ
arnold	a r n ɔ l d
arpád	a r p aː t
artúr	a r t uː r
arábia	a r aː b i a
asmara	a s m a r a
astrachán	a s t r a x aː n
asunción	a s u n s i ɔː n
asztalos	a s t a l ɔ ʃ
atény	a t eː n i
auer	a u e r
august	a v ɡ u s t
augusta	a u ɡ u s t a
augustín	a v ɡ u s t iː n
aurel	a u̯ r ɛː ɫ
aurélia	a v r eː l i a
austrália	a v s t r aː l i a
azerbajdžan	a z e r b a j d͡ʒ a n
ašchabad	a ʃ x a b a t
babarik	b a b a r i k
babica	b a b i t͡s a
babirád	b a b i r aː t
babič	b a b i t͡ʃ
babiš	b a b i ʃ
babjak	b a b j a k
babnič	b a b ɲ i t͡ʃ
babus	b a b u s
babák	b a b aː k
babčo	b a p t͡ʃ ɔ
babčák	b a p t͡ʃ aː k
bachleda	b a x ʎ e d a
bachratá	b a x r a t aː
bachratý	b a x r a t iː
bacula	b a t͡s u l a
badura	b a d u r a
badžgoň	b a d͡ʒ ɡ ɔ ɲ
badžo	b a d͡ʒ ɔ
bagdad	b a ɡ d a t
bago	b a ɡ ɔ
bahamy	b a ɦ a m i
bahrajn	b a ɦ r a j n
bahrajňan	b a ɦ r a j ɲ a n
bahrajňanka	b a ɦ r a j ɲ a n k a
bajer	b a j e r
bajko	b a j k ɔ
bajza	b a j z a
baka	b a k a
bako	b a k ɔ
bakoš	b a k ɔ ʃ
baku	b a k u
bakuľa	b a k u ʎ a
balabán	b a l a b aː n
balaj	b a l a j
balaš	b a l a ʃ
balaško	b a l a ʃ k ɔ
balažovič	b a l a ʒ ɔ v i t͡ʃ
balažovjech	b a l a ʒ ɔ v j e x
balciar	b a l t͡s ɪ̯ a r
balco	b a l t͡s ɔ
balega	b a ʎ e ɡ a
balej	b a ʎ e j
baleáry	b a l ɛ aː r i
bali	b a ʎ i
baliga	b a ʎ i ɡ a
balko	b a l k ɔ
balla	b a lː a
ballek	b a l ʎ e k
balog	b a l ɔ k
balogh	b a l ɔ k x
baltazár	b a l t a z aː r
balvín	b a l v iː n
balák	b a l aː k
baláž	b a l aː ʃ
balúch	b a l uː x
bamako	b a m a k ɔ
bangkok	b a n k ɔ k
bangladéš	b a n ɡ l a d eː ʃ
bangladéšan	b a n ɡ l a d eː ʃ a n
bangladéšanka	b a n ɡ l a d eː ʃ a n k a
bango	b a n ɡ ɔ
bangui	b a n ɡ i
banjul	b a n d͡ʒ u l
banáš	b a n aː ʃ
baník	b a ɲ iː k
banínec	b a ɲ iː ɲ e t͡s
bara	b a r a
baran	b a r a n
baranovič	b a r a n ɔ v i t͡ʃ
barbados	b a r b a d ɔ s
barbara	b a r b a r a
barbora	b a r b ɔ r a
barborík	b a r b ɔ r iː k
bardejov	b a r ɟ e j ɔ v
bari	b a r i
bariak	b a r ɪ̯ a k
barkus	b a r k u s
barnák	b a r n aː k
barta	b a r t a
bartakovič	b a r t a k ɔ v i t͡ʃ
bartek	b a r c e k
bartko	b a r t k ɔ
bartl	b a r t l̩
bartolomej	b a r t ɔ ɫ ɔ m ɛ j
bartolák	b a r t ɔ l aː k
bartovic	b a r t ɔ v i t͡s
bartoš	b a r t ɔ ʃ
barák	b a r aː k
baráth	b a r aː t
basseterre	b a s t eː r
bauco	b a u t͡s ɔ
baudyš	b a u d i ʃ
bauer	b a u e r
bauko	b a u k ɔ
bavko	b a v k ɔ
bavorsko	b a v ɔ r s k ɔ
bazilej	b a z i ʎ e j
bača	b a t͡ʃ a
bačko	b a t͡ʃ k ɔ
bačkovský	b a t͡ʃ k ɔ v s k iː
bačo	b a t͡ʃ ɔ
bačovská	b a t͡ʃ ɔ v s k aː
bačovský	b a t͡ʃ ɔ v s k iː
bačuvčík	b a t͡ʃ u v t͡ʃ iː k
bačík	b a t͡ʃ iː k
baďura	b a ɟ u r a
baľo	b a ʎ ɔ
baša	b a ʃ a
bašo	b a ʃ ɔ
baťala	b a c a l a
baťo	b a c ɔ
bebrava	b e b r a v a
bebčák	b e p t͡ʃ aː k
bechná	b e x n aː
bechný	b e x n iː
bednár	b e d n aː r
begala	b e ɡ a l a
behan	b e ɦ a n
behán	b e ɦ aː n
behún	b e ɦ uː n
behúň	b e ɦ uː ɲ
behýl	b e ɦ iː l
bejrút	b e j r uː t
bekeš	b e k e ʃ
belaj	b e l a j
belaník	b e l a ɲ iː k
belehrad	b e ʎ e ɦ r a t
beleš	b e ʎ e ʃ
belfast	b e l f a s t
belgicko	b e l ɡ i t͡s k ɔ
belgičan	b e l ɡ i t͡ʃ a n
belgičanka	b e l ɡ i t͡ʃ a n k a
belica	b e ʎ i t͡s a
belko	b e l k ɔ
belmopan	b e l m ɔ p a n
belo	b ɛ ɫ ɔ
bena	b e n a
benda	b e n d a
beneš	b e n e ʃ
benin	b e ɲ i n
benjamín	b ɛ n j a m iː n
benko	b e n k ɔ
benkovič	b e n k ɔ v i t͡ʃ
benátky	b e n aː t k i
benčať	b e n t͡ʃ a c
benčík	b e n t͡ʃ iː k
beran	b e r a n
berho	b e r ɦ ɔ
berko	b e r k ɔ
berlín	b e r ʎ iː n
berlínčan	b e r ʎ iː n t͡ʃ a n
berlínčanka	b e r ʎ iː n t͡ʃ a n k a
bermudy	b e r m u d i
bern	b e r n
bernard	b ɛ r n a r d
bernolák	b e r n ɔ l aː k
bernát	b e r n aː t
