aba	ɑ b ɑ
acü	ɑ ʝ u
ad	ɑ t
adı	ɑː d ɨ
adıma	ɑ d ɨ m ɑ
agiğüsi	ɑ k i ɣ y s i
agu	ɑ k u
ahldə	ɑʰ l t ə
alaci	ɑ l ɑ ʝ i
altımış	a tʰ m i ʃ
alğusı	ɑ l ʁ u s ɨ
ama	ɑ m ɑ
anaş	ɑ n ɑ ɕ
aniği	ɑ n i ɣ i
aqqur	ɑ χ q u r
aran	ɑ r ɑ n
aruq	ɑ r u χ
arxa	ɑ r χ ɑ
arı	ɑ r ɨ
arıtqusı	ɑ r ɨ t q u s ɨ
asan	ɑ s o n
aslan	ɑ s l ɑ n
asırağusı	ɑ s r ɑ
at	ɑ tʰ
atlağusı	ɑʰ l ɑ
atqusı	ɑ tʰ
attuq	ɑʰ t u χ
ax	ɑ χ
axdarğusı	a x t a r
axqusı	ɑ χ ʁ u s ɨ
axsaq	ɑ χ s ɑ χ
axsağusı	ɑ χ s ɑ ʁ u s ɨ
axun	ɑ χ u n
axvaş	ɑ χ v ɑ ʃ
ayaq	ɑ j ɑ χ
ayi	ɑ j i
aylağusı	ɑ j l ɑ ʁ u s ɨ
aze	ɑ z i
azuq	ɑ s u χ
açuq	ɑ t͡ɕ u χ
açıq	ɑ t͡ɕ ɨ χ
açıxqusı	ɑ t͡ɕ ɨ χ χ u s ɨ
añqaq	ɑ ŋ q ɑ χ
ağarğusı	ɑ ʁ ɑ r
ağaş	ɑ ʁ ɑ ʃ
ağine	ɑ ʁ e j n e
ağu	aː ʁ u
ağırçaq	ɑ ʁ ɨ r t͡ɕ ɑ χ
ağırıq	ɑ ʁ r ɨ χ
ağız	ɑ ʁ z ɨ
aşaq	ɑ ʃ ɑ χ
aşgara	ɑ ɕ ɡ ɑ r ɑ
baba	p ɑ b ɑ
baca	p ɑ ʝ ɑ
bad	p ɑ d
badangu	p ɑ d u ŋ ɡ u
badeğüsi	p aː d æ ɣ y s i
bal	p ɑ l
baldur	p ɑ l t u r
balğun	p ɑ l ʁ u n
bar	p ɑ r
bas	p ɑ s
basqusı	p ɑ s q u s ɨ
bazar	p ɑ z ɑ r
bañnağusı	p ɑ ŋ n ɑ
bağ	p ɑ ʁ
bağa	p ɑ ʁ ɑ
bağdaq	p ɑ ʁ t ɑ χ
bağlağusı	p ɑ ʁ l ɑ ʁ u s ɨ
bağlıq	p ɑ ʁ l ɨ χ
bağzuq	b ɑ ʁ ɑ r t͡s u χ
bağır	p ɑ ʁ ɨ r
baş	p ɑ ɕ
başqa	p ɑ ʃ q ɑ
baʂ	p ɑ ʂ
bel	b e l
bele	p e l e
bellengüsi	b e l l e n
belği	p e l i ɣ i
bexitgüsi	b e x i t k ü s i
bexleğüsi	p e x e l æ
beynianxan	p e j n ɑ ŋ χ ɑ n
beyqaraq	p e j q ɑ r ɑ χ
bezgek	b e z k i x
beñger	p e ŋ ɡ e r
beğ	p e k
beş	p e ɕ
bicin	p i ʝ i n
bili	p i l i
bilğüsi	p i ɣ y s i
bir	p e r
birçük	p i r t͡ɕ y x
birğe	p i r ɣ e
bixi	p e x
bixilengüsi	p e l e ɣ y s i
borsuq	b o r s u ɡ
boy	p o j
boynaq	b o j n ɑ χ
boğdı	p o ʁ d͡ʒ i
budaq	p u d ɑ χ
budağusı	p u d ɑ
bulut	p u l u tʰ
burmaq	p u r m ɑ χ
burğaq	p u l ʁ ɨ χ
burğusı	p u r ɨ ʁ u s ɨ
burış	p u r ɨ ɕ
buyağır	p o j ɑ ʁ ɨ r
buzqusı	b u z q u s ɨ
buzuvaş	p u z i v ɑ ɕ
buğu	p u ʁ u
böz	p ø z
böğrek	p o ɣ r e x
bürküt	b e r k u t
büxü	p i u x u
caca	ʒ ɑ ʝ ɑ
cadaq	d ɑ d ɑ χ
camba	ʝ ɑ m p ɑ
carğusı	ʝ ɑ r ɨ ʁ u s ɨ
carıqçı	ʝ ɑ r ɨ χ t͡ɕ i
carığusı	ʝ ɑ r ɨ ʁ u s ɨ
cañganaq	ʝ ɑ ŋ ɢ ɑ n ɑ χ
cañnağusı	ʝ ɑ ŋ n ɑ ʁ u s ɨ
cağağusı	t͡ʃ ɑ ʁ ɑ
