a	a
abak	áː b a k
abeceden	a b ɛ t͡s éː d ɛ n
aberšek	àː b ɛ r ʃ ɛ k
abhazija	a b x â z i j a
abram	àː b r a m
abstrakcija	a p s t r àː k t͡s i j a
abstraktno	a p s t r áː k t n ɔ
absurden	a p s úː r d ə n
absurdnejši	a p s úː r d n ɛ j ʃ i
aceton	a t͡s ɛ t óː n
aco	àː t͡s ɔ
ada	áː d a
adaptacija	a d a p t àː t͡s i j a
adijo	a d íː j ɔ
adjektiven	a d j ɛ k t íː ʋ ə n
adrijan	a d r i j áː n
adrijana	a d r i j áː n a
adut	a d úː t
adžarija	a d͡ʒ àː r i j a
aerodinamika	a ɛ́ː r ɔ d i n àː m i k a
aerolit	a ɛ r ɔ l íː t
afganistan	a ʋ ɡ áː n i s t a n
afna	àː f n a
afrika	áː f r i k a
agata	àː ɡ a t a
aglomeracija	a ɡ l ɔ m ɛ r àː t͡s i j a
agrumi	a ɡ r úː m i
ahac	a x àː t͡s
ahačič	a x àː t͡ʃ i t͡ʃ
ahil	a x íː l
ahlin	a x l ìː n
ahoj	a x óː j
ahčin	a x t͡ʃ i n
ajd	a j t
ajlec	àː j l ɛ t͡s
ajnštajnij	áː j n ʃ t a j n i j
ajs	áː j s
ajster	àː j s t ɛ r
ajtnik	àː j t n i k
akademija	a k a d ɛ m íː j a
aksiom	a k s i j óː m
aktinij	a k t ìː n i j
aktualizacija	a k t u a l i z àː t͡s i j a
aktualizirati	a k t u a l i z íː r a t i
akuzativ	áː k u z a t i ʋ
akvakultura	áː k ʋ a k u l t úː r a
akvarij	a k ʋ àː r i j
alauf	àː l a u f
albanec	a l b áː n ə t͡s
albanija	a l b àː n i j a
albanka	a l b áː n k a
albanski	a l b áː n s k i
albansko	a l b áː n s k ɔ
albanščina	a l b áː n ʃ t͡ʃ i n a
albin	a l b íː n
albina	a l b íː n a
aleksander	a l ɛ k s àː n d ə r
aleksandrija	a l ɛ k s a n d r ìː j a
alenka	a l éː n k a
aleš	a l ɛ̀ ʃ
ali	a l i
aligator	a l i ɡ áː t ɔ r
aljaska	a l j áː s k a
aljaž	a l j àː ʃ
alkohol	a l k ɔ x óː l
almir	a l m i r
alojzij	a l òː j z i j
alpaka	a l p áː k a
aluminij	a l u m ìː n i j
alžirija	a l ʒ íː r i j a
amadej	a m a d ɛ j
amalija	a m áː l i j a
aman	â m a n
amarant	a m a r àː n t
ambasador	a m b a s áː d ɔ r
ambrozija	a m b r òː z i j a
ambrož	a m b r ɔ̀ː ʃ
