a	a
aarónica	a a ɾ o n i k a
aarónicas	a a ɾ o n i k a s
aarónico	a a ɾ o n i k o
aarónicos	a a ɾ o n i k o s
aba	a b a
ababa	a b a b a
ababais	a b a b ai s
ababan	a b a b a n
ababas	a b a b a s
ababilla	a b a b i ʎ a
ababillaba	a b a b i ʎ a b a
ababillabais	a b a b i ʎ a b ai s
ababillaban	a b a b i ʎ a b a n
ababillabas	a b a b i ʎ a b a s
ababillad	a b a b i ʎ a d
ababillada	a b a b i ʎ a d a
ababilladas	a b a b i ʎ a d a s
ababillado	a b a b i ʎ a d o
ababillados	a b a b i ʎ a d o s
ababillamos	a b a b i ʎ a m o s
ababillan	a b a b i ʎ a n
ababillando	a b a b i ʎ a n d o
ababillar	a b a b i ʎ a ɾ
ababillara	a b a b i ʎ a ɾ a
ababillarais	a b a b i ʎ a ɾ ai s
ababillaran	a b a b i ʎ a ɾ a n
ababillaras	a b a b i ʎ a ɾ a s
ababillare	a b a b i ʎ a ɾ e
ababillareis	a b a b i ʎ a ɾ ei s
ababillaremos	a b a b i ʎ a ɾ e m o s
ababillaren	a b a b i ʎ a ɾ e n
ababillares	a b a b i ʎ a ɾ e s
ababillarme	a b a b i ʎ a ɾ m e
ababillarnos	a b a b i ʎ a ɾ n o s
ababillaron	a b a b i ʎ a ɾ o n
ababillaros	a b a b i ʎ a ɾ o s
ababillarse	a b a b i ʎ a ɾ s e
ababillarte	a b a b i ʎ a ɾ t e
ababillará	a b a b i ʎ a ɾ a
ababillarán	a b a b i ʎ a ɾ a n
ababillarás	a b a b i ʎ a ɾ a s
ababillaré	a b a b i ʎ a ɾ e
ababillaréis	a b a b i ʎ a ɾ ei s
ababillaría	a b a b i ʎ a ɾ i a
ababillaríais	a b a b i ʎ a ɾ i ai s
ababillaríamos	a b a b i ʎ a ɾ i a m o s
ababillarían	a b a b i ʎ a ɾ i a n
ababillarías	a b a b i ʎ a ɾ i a s
ababillas	a b a b i ʎ a s
ababillase	a b a b i ʎ a s e
ababillaseis	a b a b i ʎ a s ei s
ababillasen	a b a b i ʎ a s e n
ababillases	a b a b i ʎ a s e s
