'tamo'	t a m o
'tamos	t a m o s
'tas	t a s
aaleniana	a l e n j a n a
aalenianas	a l e n j a n a s
aaleniano	a l e n j a n o
aalenianos	a l e n j a n o s
aaronita	a a ɾ o n i t a
aaronitas	a a ɾ o n i t a s
aarón	a a ɾ o n
ababillabais	a b a b i ʎ a b a i s
ababillaos	a b a b i ʎ a o s
ababillarais	a b a b i ʎ a ɾ a i s
ababillareis	a b a b i ʎ a ɾ e i s
ababillaréis	a b a b i ʎ a ɾ e i s
ababillaríais	a b a b i ʎ a ɾ i a i s
ababillaseis	a b a b i ʎ a s e i s
ababillasteis	a b a b i ʎ a s t e i s
ababillate	a b a b i ʎ a t e
ababilláis	a b a b i ʎ a i s
ababillás	a b a b i ʎ a s
ababilléis	a b a b i ʎ e i s
ababillémonos	a b a b i ʎ e m o n o s
ababillés	a b a b i ʎ e s
ababol	a b a b o l
ababoles	a b a b o l e s
ababuy	a b a b u i
ababábite	a b a b a b i t e
ababábites	a b a b a b i t e s
ababíllate	a b a b i ʎ a t e
ababíllense	a b a b i ʎ e n s e
ababíllese	a b a b i ʎ e s e
abacalera	a b a k a l e ɾ a
abacalero	a b a k a l e ɾ o
abacana	a b a k a n a
abacanaba	a b a k a n a b a
abacanabais	a b a k a n a b a i s
abacanaban	a b a k a n a b a n
abacanabas	a b a k a n a b a s
abacanad	a b a k a n a d
abacanada	a b a k a n a d a
abacanadas	a b a k a n a d a s
abacanadla	a b a k a n a d l a
abacanadlas	a b a k a n a d l a s
abacanadle	a b a k a n a d l e
abacanadles	a b a k a n a d l e s
abacanadlo	a b a k a n a d l o
abacanadlos	a b a k a n a d l o s
abacanadme	a b a k a n a d m e
abacanadnos	a b a k a n a d n o s
abacanado	a b a k a n a d o
abacanados	a b a k a n a d o s
abacanala	a b a k a n a l a
abacanalas	a b a k a n a l a s
abacanale	a b a k a n a l e
abacanales	a b a k a n a l e s
abacanalo	a b a k a n a l o
abacanalos	a b a k a n a l o s
abacaname	a b a k a n a m e
abacanamos	a b a k a n a m o s
abacanan	a b a k a n a n
abacanando	a b a k a n a n d o
abacananos	a b a k a n a n o s
abacanaos	a b a k a n a o s
abacanar	a b a k a n a ɾ
abacanara	a b a k a n a ɾ a
abacanarais	a b a k a n a ɾ a i s
abacanaran	a b a k a n a ɾ a n
abacanaras	a b a k a n a ɾ a s
