a	ɑ
a(2)	ɛ
aa	ɑ ɑ
aaa	ɑ ɑ ɑ
aaa(2)	t ɾ i p ɛ l ɛ j
aaah	ɑ ɑ ɑ h
aaam	ɑ ɑ ɑ m
aachane	ɑ ɑ t͡ʃ ɑ n ɛ
aache	ɑ ɑ t͡ʃ ɛ
aachie	ɑ ɑ t͡ʃ i ɛ
aachilie	ɑ ɑ t͡ʃ i l i ɛ
aachiliwe	ɑ ɑ t͡ʃ i l i w ɛ
aachiwe	ɑ ɑ t͡ʃ i w ɛ
aachwe	ɑ ɑ t͡ʃ w ɛ
aadhibiwe	ɑ ɑ ð i ɓ i w ɛ
aagize	ɑ ɑ ɠ i z ɛ
aah	ɑ ɑ h
aahirishe	ɑ ɑ h i ɾ i ʃ ɛ
aajiriwe	ɑ ɑ ʄ i ɾ i w ɛ
aam	ɑ ɑ m
aam(4)	ɑ ɑ m u
aambiwe	ɑ ɑ ᵐɓ i w ɛ
aamini	ɑ ɑ m i n i
aamke	ɑ ɑ m k ɛ
aamua	ɑ ɑ m u ɑ
aamue	ɑ ɑ m u ɛ
aamuru	ɑ ɑ m u ɾ u
aandae	ɑ ɑ ⁿɗ ɑ ɛ
aandike	ɑ ɑ ⁿɗ i k ɛ
aandikishwe	ɑ ɑ ⁿɗ i k i ʃ w ɛ
aangalie	ɑ ɑ ᵑg ɑ l i ɛ
aanguke	ɑ ɑ ᵑg u k ɛ
aanza	ɑ ɑ ⁿz ɑ
aanze	ɑ ɑ ⁿz ɛ
aanzie	ɑ ɑ ⁿz i ɛ
aanzishe	ɑ ɑ ⁿz i ʃ ɛ
aapa	ɑ ɑ p ɑ
aapishwa	ɑ ɑ p i ʃ w ɑ
aaron	ɑ ɑ ɾ ɔ n
aaron(2)	ɛ ɾ ɛ n
aaron(4)	ɑ ɑ ɾ ɔ n i
ab	ɑ ɓ
ab(2)	ɑ ɓ
ab(4)	ɑ ɓ u
aba	ɑ ɓ ɑ
ababa	ɑ ɓ ɑ ɓ ɑ
ababa(2)	ɛ ɓ ɑ ɓ ɛ
ababu	ɑ ɓ ɑ ɓ u
abacha	ɑ ɓ ɑ t͡ʃ ɑ
abacha(2)	ɑ ɓ ɛ k ɛ
abadan	ɑ ɓ ɑ ɗ ɑ n
abadan(4)	ɑ ɓ ɑ ɗ ɑ n i
abadel	ɑ ɓ ɑ ɗ ɛ l
abadili	ɑ ɓ ɑ ɗ i l i
abadilike	ɑ ɓ ɑ ɗ i l i k ɛ
abadilishe	ɑ ɓ ɑ ɗ i l i ʃ ɛ
abaki	ɑ ɓ ɑ k i
abakie	ɑ ɓ ɑ k i ɛ
abarry	ɑ ɓ ɑ ɾ ɾ j
abas	ɑ ɓ ɑ s
abas(4)	ɑ ɓ ɑ s i
abasi	ɑ ɓ ɑ s i
abass	ɑ ɓ ɑ s s
