-procentig	p r ʊ s ɛ n t ɪ ɡ
-tonnare	t ɔ n a r ɛ
-vänlig	v ɛ n l ɪ ɡ
-väsen	v 'ɛː s ɛ n
-öring	øː r ɪ ŋ
a	ɑː
a-inkomst	²'ɑː ɪ n k 'ɔ m s t
a-kassa	²'ɑː k a s a
a-skatt	²'ɑː s k a t
aa	²s 'ɑː a
aachen	'ɑː k 'eː n
ab	²'ɑː b eː
abba	²s a b a
abbe	²s a b ɛ
abbedissa	²a b ɛ d 'ɪ s a
abbeshult	a b ɛ s h ɵ l t
abborre	²'a b ɔ r ɛ
abbot	a b ɔ t
abbé	a b 'eː
abc	ɑː b eː s 'eː
abc-bok	²'ɑː b eː s eː b uː k
abc-stridsmedel	²ɑː b eː s 'eː s t r ɪ t s m eː d ɛ l
abdikera	a b d ɪ k 'eː r a
abdikerar	a b d ɪ k 'eː r a r
aber	'ɑː b ɛ r
abf	ɑː b eː 'ɛ f
abnorm	a b n 'ɔ r m
aboensisk	a b ʊ ɛ n s ɪ s k
abonnemang	a b ɔ n ɛ m 'a ŋ
abonnent	a b ɔ n 'ɛ n t
abonnentförteckning	a b ɔ n ɛ n t f œ t ɛ k n ɪ ŋ
abonnera	a b ɔ n 'eː r a
abonnerar	a b ɔ n 'eː r a r
abort	a b 'ɔ t
abortrådgivning	²a b 'ɔ t r oː d j iː v n ɪ ŋ
abrakadabra	ɑː b r a k a d 'ɑː b r a
abrupt	a b r 'ɵ p t
absolut	a b s ʊ l 'ʉː t
absolutism	a b s ʊ l ɵ t 'ɪ s m
absolutist	a b s ʊ l ɵ t 'ɪ s t
absorbera	a b s ɔ r b 'eː r a
absorberar	a b s ɔ r b 'eː r a r
absorptionsförmåga	a b s ɔ r p ɧ ʊ n s f œ r m oː ɡ a
abstinens	a b s t ɪ n 'ɛ n s
abstinensbesvär	a b s t ɪ n ɛ n s b ɛ s v 'ɛː r
abstrahera	a b s t r a h 'eː r a
abstraherar	a b s t r a h 'eː r a r
abstrakt	a b s t r 'a k t
abstraktion	a b s t r a k ɧ 'uː n
absurd	a b s 'ɵ r d
acajounöt	a k a j ʊ n øː t
acajouträd	a k a j ʊ t r ɛː d
accelerera	a k s ɛ l ɛ r 'eː r a
accelererar	a k s ɛ l ɛ r 'eː r a r
accent	a k s 'ɛ n t
accentuera	a k s ɛ n t ɵ 'eː r a
accentuerar	a k s ɛ n t ɵ 'eː r a r
acceptabel	a k s ɛ p t 'ɑː b ɛ l
acceptera	a k s ɛ p t 'eː r a
accepterar	a k s ɛ p t 'eː r a r
accis	a k s 'iː s
aceton	a s ɛ t 'oː n
acetylsalicylsyra	a s ɛ t 'yː l s a l ɪ s 'yː l s 'yː r a
ack	a k
ackja	a k j a
acklamation	a k l a m a ɧ 'uː n
ackompanjera	a k ɔ m p a n j 'eː r a
ackompanjerar	a k ɔ m p a n j 'eː r a r
ackord	a k 'oː d
ackreditera	a k r ɛ d ɪ t 'eː r a
ackrediterar	a k r ɛ d ɪ t 'eː r a r
ackumulera	a k ɵ m ɵ l 'eː r a
ackumulerar	a k ɵ m ɵ l 'eː r a r
ackuratess	a k ɵ r a t 'ɛ s
ackusativ	a k ɵ s a t 'iː v
ackuschör	a k ɵ ɧ øː r
ackuschörska	a k ɵ ɧ œ ɕ k a
acne	²'a k n ɛ
action	'ɛ k ɧ ɛ n
actionhjälte	a k ɧ ɔ n j ɛ l t ɛ
ad	'ɑː d eː
adamsäpple	²'ɑː d a m s a p l ɛ
adb	ɑː d eː b 'eː
adde	²s a d ɛ
addera	a d 'eː r a
adderar	a d 'eː r a r
addition	a d ɪ ɧ 'uː n
adekvat	a d ɛ k v 'ɑː t
adel	'ɑː d ɛ l
adelssläkt	ɒ̀ː d ɛ l s ‿ s l ɛ k t
adept	a d 'ɛ p t
aderton	²'ɑː d ɛ t ɔ n
adhd	'ɑː d 'eː h oː d 'eː
adjektiv	²'a d j ɛ k t iː v
adjungera	a d j ɵ ŋ ɡ 'eː r a
adjungerar	a d j ɵ ŋ ɡ 'eː r a r
adjunkt	a d j 'ɵ ŋ k t
adjö	a j 'øː
adla	²'ɑː d l a
adlar	²'ɑː d l a r
adlig	'ɑː d l ɪ ɡ
administration	a d m ɪ n ɪ s t r a ɧ 'uː n
administrativ	a d m ɪ n ɪ s t r a t 'iː v
administrera	a d m ɪ n ɪ s t r 'eː r a
administrerar	a d m ɪ n ɪ s t r 'eː r a r
adoptera	a d ɔ p t 'eː r a
adopterar	a d ɔ p t 'eː r a r
adoption	a d ɔ p ɧ 'uː n
adoptivbarn	²a d ɔ p t 'iː v b ɑː n
adoptivförälder	²a d ɔ p t 'iː v f œ r ɛ l d ɛ r
adrenalin	a d r ɛ n a l 'iː n
adress	a d r 'ɛ s
adressat	a d r ɛ s 'ɑː t
adressera	a d r ɛ s 'eː r a
adresserar	a d r ɛ s 'eː r a r
adrätt	²s 'ɑː d r ɛ t
advent	a d v 'ɛ n t
adventsljusstake	a d ²s v ɛ n t s j s s s t 'ɑː k ɛ
adventsstjärna	a d v ɛ n t s ɧ ɛː r n a
adventssöndag	a d v ɛ n t s s œ n d 'ɑː ɡ
adverb	a d v 'ɛ r b
adverbial	a d v a r b ɪ 'ɑː l
advokat	a d v ʊ k 'ɑː t
advokatbyrå	²a d v ʊ k 'ɑː t b yː r ɔ
aero-	²a ɛ r ʊ
aerodynamisk	a ɛ r ʊ d ʏ n 'ɑː m ɪ s k
aerogram	a ɛ r ʊ ɡ r 'a m
afasi	a f a s 'iː
affekt	a f 'ɛ k t
affekterad	a f ɛ k t 'eː r a d
affektion	a f ɛ k ɧ 'uː n
affektionsvärde	²a f ɛ k ɧ 'uː n s v ɛː d ɛ
affisch	a f 'ɪ ɧ
affischera	a f ɪ ɧ 'eː r a
affischerar	a f ɪ ɧ 'eː r a r
affrikata	a f r ɪ k 'ɑː t a
affär	a f 'ɛː r
affärsbiträde	a f r ɕ b ɪ t r ɛː d ɛ
affärsidé	a f r ɕ 'iː d 'eː
affärskvinna	a f ɛː r s k v ɪ n a
affärsliv	a f r ɕ l 'iː v
affärsman	²a f 'ɛː ɕ m a n
affärsmässig	a f r ɕ m ɛ s ɪ ɡ
affärsresa	a f r ɕ r 'eː s a
aforism	a f ʊ r 'ɪ s m
afrika	'ɑː f r ɪ k a
afrikan	a f r ɪ k 'ɑː n
afrikansk	a f r ɪ k 'ɑː n s k
afrofrisyr	²'a f r ʊ f r ɪ s yː r
afse	²s a f s ɛ
