'day	d a j
'di	d e ʔ
'eka	ʔ e k a ʔ
'ika	ʔ i k a ʔ
'ka	k a ʔ
'lika	l i k a
'ng	ŋ
'no	n o
't	t
'to	t o
'tsaka	t͡s a k a ʔ
'y	j
'yan	j a n
'yo	j o
'yon	j o n
'yun	j u n
a	a
a'tin	ʔ e j t i n
aa	ʔ a ʔ a
aaa	ʔ a ʔ a ʔ a ʔ
aaaban	ʔ a ʔ a ʔ a b a n
aab	ʔ a ʔ a b
aaban	ʔ a ʔ a b a n
aabisuhan	ʔ a ʔ a b i s u h a n
aagaw	ʔ a ʔ a ɡ a w
aak	ʔ a ʔ a k
aakyat	ʔ a ʔ a k j a t
aalpombrahin	ʔ a ʔ a l p o m b ɾ a h i n
aam	ʔ a ʔ a m
aamin	ʔ a ʔ a m i n
aaminin	ʔ a ʔ a m i n i n
aamyendahan	ʔ a ʔ a m j e n d a h a n
aanhin	ʔ a ʔ a n h i n
aanim	ʔ a ʔ a n i m
aanulahin	ʔ a ʔ a n u l a h i n
aap	ʔ a ʔ a p
aarawan	ʔ a ʔ a ɾ a w a n
aaron	ʔ a ɾ o n
aawat	ʔ a ʔ a w a t
aba	ʔ a b a
abad	ʔ a b a d
abada	ʔ a b a d a
abadesa	ʔ a b a d e s a
abadiano	ʔ a b a d j a n o
abadilla	ʔ a b a d i l j a
abadiya	ʔ a b a d i a
abadya	ʔ a b a d j a
abadyato	ʔ a b a d j a t o
abahin	ʔ a b a h i n
abain	ʔ a b a ʔ i n
abaka	ʔ a b a k a
abakada	ʔ a b a k a d a
abakahan	ʔ a b a k a h a n
abako	ʔ a b a k o
abakus	ʔ a b a k u s
abala	ʔ a b a l a
abalahin	ʔ a b a l a h i n
abaloni	ʔ a b a l o n i
abaloryo	ʔ a b a l o ɾ j o
abalos	ʔ a b a l o s
abanderada	ʔ a b a n d e ɾ a d a
abanderado	ʔ a b a n d e ɾ a d o
abandona	ʔ a b a n d o n a
abandonada	ʔ a b a n d o n a d a
abandonado	ʔ a b a n d o n a d o
abandono	ʔ a b a n d o n o
abang	ʔ a b a ŋ
abangan	ʔ a b a ŋ a n
abangers	ʔ a b a ŋ e ɾ s
abaniko	ʔ a b a n i k o
abanse	ʔ a b a n s e
abante	ʔ a b a n t e
abarca	ʔ a b a ɾ k a
abarisya	ʔ a b a ɾ i s j a
abarka	ʔ a b a ɾ k a
abarkador	ʔ a b a ɾ k a d o ɾ
abaro	ʔ a b a ɾ o
abaseria	ʔ a b a s e ɾ i a
abaseriya	ʔ a b a s e ɾ i a
abasero	ʔ a b a s e ɾ o
abaserya	ʔ a b a s e ɾ j a
abastesedor	ʔ a b a s t e s e d o ɾ
abasto	ʔ a b a s t o
abat	ʔ a b a t
abatan	ʔ a b a t a n
abate	ʔ a b a t e
abay	ʔ a b a j
abaya	ʔ a b a j a
abayan	ʔ a b a j a n
abby	ʔ a b i
abdika	ʔ a b d i k a
abdikasyon	ʔ a b d i k a s j o n
abdomen	ʔ a b d o m e n
abdominal	ʔ a b d o m i n a l
abduksiyon	ʔ a b d u k s i o n
abduksyon	ʔ a b d u k s j o n
abdurahman	ʔ a b d u ɾ a m a n
abe	ʔ a b e
abece	ʔ a b e s e
abeha	ʔ a b e h a
abehera	ʔ a b e h e ɾ a
abehero	ʔ a b e h e ɾ o
abejuela	ʔ a b e h u e l a
abel	ʔ a b e l
abelgas	ʔ a b e l ɡ a s
abella	ʔ a b e l j a
abellano	ʔ a b e l j a n o
abellera	ʔ a b e l j e ɾ a
abelyana	ʔ a b e l j a n a
abelyano	ʔ a b e l j a n o
abenida	ʔ a b e n i d a
abenojar	ʔ a b e n o h a ɾ
abente	ʔ a b e n t e
abentura	ʔ a b e n t u ɾ a
abenturero	ʔ a b e n t u ɾ e ɾ o
aber	ʔ a b e ɾ
aberasyon	ʔ a b e ɾ a s j o n
abereyds	ʔ a b e ɾ e j d s
abereyj	ʔ a b e ɾ e j d s
aberya	ʔ a b e ɾ j a
abesamis	ʔ a b e s a m i s
abese	ʔ a b e s e
abesedaryo	ʔ a b e s e d a ɾ j o
abestrus	ʔ a b e s t ɾ u s
abeto	ʔ a b e t o
abeynte	ʔ a b e j n t e
abigail	ʔ a b i ɡ e j l
abilaw	ʔ a b i l a w
abilidad	ʔ a b i l i d a d
abilo	ʔ a b i l o
abing	ʔ a b i ŋ
abintestato	ʔ a b i n t e s t a t o
abiohenesis	ʔ a b j o h e n e s i s
abisinya	ʔ a b i s i n j a
abisinyo	ʔ a b i s i n j o
abismal	ʔ a b i s m a l
abismo	ʔ a b i s m o
abiso	ʔ a b i s o
abisuhan	ʔ a b i s u h a n
abito	ʔ a b i t o
abitsuwela	ʔ a b i t s u e l a
abitsuwelas	ʔ a b i t s u e l a s
abiw	ʔ a b i w
abiyerta	ʔ a b i e ɾ t a
abiyo	ʔ a b i o
abiyohenesis	ʔ a b i o h e n e s i s
abiyolohiya	ʔ a b i o l o h i a
abla	ʔ a b l a
ablatibo	ʔ a b l a t i b o
able	ʔ a b l e
ablepsiya	ʔ a b l e p s i a
ablepsya	ʔ a b l e p s j a
abli	ʔ a b l i
ablog	ʔ a b l o ɡ
ablusyon	ʔ a b l u s j o n
abnegada	ʔ a b n e ɡ a d a
abnegado	ʔ a b n e ɡ a d o
abnegasyon	ʔ a b n e ɡ a s j o n
abno	ʔ a b n o ʔ
abnormal	ʔ a b n o ɾ m a l
abnormalidad	ʔ a b n o ɾ m a l i d a d
abnoy	ʔ a b n o j
abo	ʔ a b o
abog	ʔ a b o ɡ
abogada	ʔ a b o ɡ a d a
abogadilyo	ʔ a b o ɡ a d i l j o
abogado	ʔ a b o ɡ a d o
abogago	ʔ a b o ɡ a ɡ o
abogasia	ʔ a b o ɡ a s i a
abogasiya	ʔ a b o ɡ a s i a
abogasya	ʔ a b o ɡ a s j a
abok	ʔ a b o k
abokado	ʔ a b o k a d o
aboli	ʔ a b o l i
abolisyon	ʔ a b o l i s j o n
abolisyonismo	ʔ a b o l i s j o n i s m o
abolisyonista	ʔ a b o l i s j o n i s t a
abolisyunista	ʔ a b o l i s j u n i s t a
abonada	ʔ a b o n a d a
abonado	ʔ a b o n a d o
abono	ʔ a b o n o
aborsiyon	ʔ a b o ɾ s i o n
aborsiyonista	ʔ a b o ɾ s i o n i s t a
aborsiyunista	ʔ a b o ɾ s i u n i s t a
aborsyon	ʔ a b o ɾ s j o n
aborsyonista	ʔ a b o ɾ s j o n i s t a
aborsyunista	ʔ a b o ɾ s j u n i s t a
abortista	ʔ a b o ɾ t i s t a
aborto	ʔ a b o ɾ t o
abot	ʔ a b o t
aboy	ʔ a b o j
abra	ʔ a b ɾ a
abraham	ʔ a b ɾ a h a m
abrakadabra	ʔ a b ɾ a k a d a b ɾ a
abrasador	ʔ a b ɾ a s a d o ɾ
abrasete	ʔ a b ɾ a s e t e
abrasiyete	ʔ a b ɾ a s i e t e
abraso	ʔ a b ɾ a s o
abrasyete	ʔ a b ɾ a s j e t e
abrazado	ʔ a b ɾ a s a d o
abre	ʔ a b ɾ e
abrebasyon	ʔ a b ɾ e b a s j o n
abrebiyado	ʔ a b ɾ e b i a d o
abrebiyasyon	ʔ a b ɾ e b i a s j o n
abrebiyatura	ʔ a b ɾ e b i a t u ɾ a
abrebyado	ʔ a b ɾ e b j a d o
abrebyasyon	ʔ a b ɾ e b j a s j o n
abrebyatura	ʔ a b ɾ e b j a t u ɾ a
abrelata	ʔ a b ɾ e l a t a
abrenica	ʔ a b ɾ e n i k a
abrera	ʔ a b ɾ e ɾ a
abretapa	ʔ a b ɾ e t a p a
abri	ʔ a b ɾ i
abridor	ʔ a b ɾ i d o ɾ
abrigado	ʔ a b ɾ i ɡ a d o
abrigana	ʔ a b ɾ i ɡ a n a
abrigo	ʔ a b ɾ i ɡ o
abril	ʔ a b ɾ i l
abrisete	ʔ a b ɾ i s e t e
abritapa	ʔ a b ɾ i t a p a
abrodista	ʔ a b ɾ o d i s t a
abroga	ʔ a b ɾ o ɡ a
abrogado	ʔ a b ɾ o ɡ a d o
abrogahin	ʔ a b ɾ o ɡ a h i n
abrogasyon	ʔ a b ɾ o ɡ a s j o n
abrotano	ʔ a b ɾ o t a n o
absen	ʔ a b s e n
absenera	ʔ a b s e n e ɾ a
absenero	ʔ a b s e n e ɾ o
absent	ʔ a b s e n t
absentera	ʔ a b s e n t e ɾ a
absentero	ʔ a b s e n t e ɾ o
absentismo	ʔ a b s e n t i s m o
abseso	ʔ a b s e s o
absik	ʔ a b s i k
absintiyo	ʔ a b s i n t i o
absintyo	ʔ a b s i n t j o
absisa	ʔ a b s i s a
absisyon	ʔ a b s i s j o n
absolbe	ʔ a b s o l b e
absolusyon	ʔ a b s o l u s j o n
absolutismo	ʔ a b s o l u t i s m o
absolutista	ʔ a b s o l u t i s t a
absoluto	ʔ a b s o l u t o
absorbente	ʔ a b s o ɾ b e n t e
absorpsiyon	ʔ a b s o ɾ p s i o n
absorpsyon	ʔ a b s o ɾ p s j o n
absorsiyon	ʔ a b s o ɾ s i o n
absorsyon	ʔ a b s o ɾ s j o n
abstensiyon	ʔ a b s t e n s i o n
abstensyon	ʔ a b s t e n s j o n
abstinensiya	ʔ a b s t i n e n s i a
abstinensya	ʔ a b s t i n e n s j a
abstrak	ʔ a b s t ɾ a k
abstraksiyon	ʔ a b s t ɾ a k s i o n
abstraksyon	ʔ a b s t ɾ a k s j o n
abstrakto	ʔ a b s t ɾ a k t o
absulbi	ʔ a b s u l b i
absulusyon	ʔ a b s u l u s j o n
absulutismo	ʔ a b s u l u t i s m o
absulutista	ʔ a b s u l u t i s t a
absuluto	ʔ a b s u l u t o
absurdismo	ʔ a b s u ɾ d i s m o
absurdista	ʔ a b s u ɾ d i s t a
absurdo	ʔ a b s u ɾ d o
absuweltado	ʔ a b s u e l t a d o
absuwelto	ʔ a b s u e l t o
absweltado	ʔ a b s w e l t a d o
abswelto	ʔ a b s w e l t o
abu	ʔ a b u
abuab	ʔ a b u ʔ a b
abubor	ʔ a b u b o ɾ
abubot	ʔ a b u b o t
abucay	ʔ a b u k a j
abueg	ʔ a b w e ɡ
abuel	ʔ a b w e l
abugada	ʔ a b u ɡ a d a
abugadilyo	ʔ a b u ɡ a d i l j o
abugado	ʔ a b u ɡ a d o
abugasiya	ʔ a b u ɡ a s i a
abugasya	ʔ a b u ɡ a s j a
abuhan	ʔ a b u h a n
abuhin	ʔ a b u h i n
abukado	ʔ a b u k a d o
abukanin	ʔ a b u k a n i n
abukay	ʔ a b u k a j
abulado	ʔ a b u l a d o
