a	a
abagant	a b a ɡ ɑ̃
abaguer	a b a ɡ e
abandner	a b ɑ̃ n n e
abaxhî	a b a ʃ iː
abayî	a b a j iː
aberweter	a b ɛ ʀ w ɛ t e
abiyî	a b i j iː
abraham	a b ʀ a h a m
abressî	a b ʀ ɛ s iː
abrocaedje	a b ʀ ɔ k ɛ t͡ʃ
abrodjî	a b ʀ ɔ d͡ʒ iː
abråm	a b ʀ ɔː m
abwesson	a b w ɛ s ɔ̃
achinne	a ʃ ɛ̃ n
aclairi	a k l ɛː ʀ i
acoûtchî	a k uː t͡ʃ iː
acpagnmint	a k p a ɲ m ɛ̃
acroere	a k ʀ w ɛː ʀ
acsegnî	a k s ɛ ɲ iː
acteur	a k t øː ʀ
actoresse	a k t ɔ ʀ ɛ s
adam	a d a m
adan	a d ã
addjectif	a d d͡ʒ ɛ k t i f
adelayite	a d e l a j i t
adele	a d ɛ l
adislasse	a d i l a s
adjinçna	a d͡ʒ ɛ̃ s n a
adjinçner	a d͡ʒ ɛ̃ s n e
adjondrece	a d͡ʒ ɔ̃ d ʀ ɛ s
administråcion	a n m i n i s t ʀ ɔː s j ɔ̃
adofe	a d ɔ f
aduri	a d y ʀ i
adviebe	a d v j ɛ p
aernou	a ʀ n uː
afrike	a f ʀ i k
agaesse	a ɡ ɛ s
agnea	a ɲ a
agnon	a ɲ ɔ̃
agnons	a ɲ ɔ̃
aguèse	a ɡ ɛ s
ahavter	a h a f t e
ahavteure	a h a f t ø ʀ
ahiver	a h iː v e
aidance	ɛː d ã s
aile	ɛː l
aili	ɛ l i
aite	ɛ t
aiwe	ɛː w
aiwes	ɛː w
aiwêye	ɛː w ɛ j
aiye	ɛː j
albaneye	a l b a n ɛ j
alcide	a l s i t
aldjereye	a l d͡ʒ ɛ ʀ ɛ j
alegzande	a l ɛ ɡ z ɑ̃ t
aler	a l e
aleur	a l øː ʀ
alfabet	a l f a b ɛ
alfonse	a l f ɔ̃ s
alfrede	a l f ʀ ɛ t
almagne	a l m a ɲ
almand	a l m ɑ̃
alodîye	a l ɔ d iː j
alongui	a l ɔ̃ ɡ i
aloyrece	a l ɔ j ʀ ɛ s
alårdji	a l ɔː ʀ d͡ʒ i
alècsis	a l ɛ k s i
alègzandrine	a l ɛ ɡ z ɑ̃ d ʀ i n
alôye	a l o j
ama	a m a
amagnî	a m a ɲ iː
amand	a m ɑ̃
amboeze	ã b w ɛ s
amel	a m ɛ l
amerike	a m ɛ ʀ i k
amon	a m ɔ̃
amoûr	a m uː ʀ
anboèse	ã b w ɛ s
ancyin	ã s j ɛ̃
andene	ɑ̃ d ɛ n
anderluwe	ɑ̃ d ɛ ʀ l u w
andjlene	ã d͡ʒ l ɛ n
andjline	ã d͡ʒ l i n
andore	ã d ɔ ʀ
andrêye	ã d ʀ ɛː j
andrî	ã d ʀ iː
ane	a n
angleûr	ã ɡ l øː ʀ
anhêye	ã h e j
anichtaedje	a n i ʃ t ɛ t͡ʃ
aniye	a n i j
anjèlique	ã ʒ ɛ l i k
anke	ã k
anmzin	ɑ̃ m z ɛ̃
annvoye	ɑ̃ n v õ j
anse	ã s
ansene	ã s ɛ n
ansiner	ã s i n e
antene	ã t ɛ n
antoenne	ɑ̃ t w ɛ n
antolodjeye	ã t ɔ l ɔ d͡ʒ ɛ j
antwène	ɑ̃ t w ɛ n
antône	ɑ̃ t o n
anêye	a n e j
anêyes	a n e j
aparexhe	a p a ʀ ɛ ʃ
apontyî	a p ɔ̃ t j iː
aprepyî	a p ʀ ɛ p j iː
aprinde	a p ʀ ɛ̃ t
apåjhter	a p ɔː ç t e
arabe	a ʀ a p
araegne	a ʀ ɛ ɲ
arester	a ʀ ɛ s t e
arindjî	a ʀ ɛ̃ d͡ʒ iː
aritchi	a ʀ i t͡ʃ i
aroke	a ʀ ɔ k
arondixhmint	a ʀ ɔ̃ d i ʃ m ɛ̃
artur	a ʀ t y ʀ
aschoûter	a s k uː t e
aschoûtrece	a s k uː t ʀ ɛ s
aschoûtreces	a s k uː t ʀ ɛ s
ascoyî	a s k ɔ j iː
ashir	a ʃ iː ʀ
assesse	a s ɛ s
assocyî	a s ɔ s j iː
assåjhner	a s ɔː ʒ n e
astamper	a s t ã p e
asteure	a s t øː ʀ
astire	a s t i ʀ
astride	a s t ʀ i t
atchter	a t͡ʃ t e
atincion	a t ɛ̃ s j ɔ̃
atouwer	a t u w e
aurèlîye	oː ʀ ɛ l iː j
aveur	a v øː ʀ
avoenne	a v w ɛ̃ n
avou	a v u
avri	a v ʀ i
awan	a w ã
aweye	a w ɛ j
awijhî	a w iː ʒ iː
awousse	a w u s
