a	a
abraham	a b ʀ a h a m
abråm	a b ʀ ɔː m
achinne	a ʃ ɛ̃ n
adam	a d a m
adan	a d ã
adelayite	a d e l a j i t
adele	a d ɛ l
adislasse	a d i l a s
adofe	a d ɔ f
aernou	a ʀ n uː
afrike	a f ʀ i k
aili	ɛ l i
aiwêye	ɛː w ɛ j
albaneye	a l b a n ɛ j
alcide	a l s i t
aldjereye	a l d͡ʒ ɛ ʀ ɛ j
alegzande	a l ɛ ɡ z ɑ̃ t
aleur	a l øː ʀ
alfonse	a l f ɔ̃ s
alfrede	a l f ʀ ɛ t
almagne	a l m a ɲ
alodîye	a l ɔ d iː j
alècsis	a l ɛ k s i
alègzandrine	a l ɛ ɡ z ɑ̃ d ʀ i n
ama	a m a
amand	a m ɑ̃
amboeze	ã b w ɛ s
amel	a m ɛ l
amerike	a m ɛ ʀ i k
anboèse	ã b w ɛ s
andene	ɑ̃ d ɛ n
anderluwe	ɑ̃ d ɛ ʀ l u w
andjlene	ã d͡ʒ l ɛ n
andjline	ã d͡ʒ l i n
andore	ã d ɔ ʀ
andrêye	ã d ʀ ɛː j
andrî	ã d ʀ iː
ane	a n
angleûr	ã ɡ l øː ʀ
anhêye	ã h e j
aniye	a n i j
anjèlique	ã ʒ ɛ l i k
anmzin	ɑ̃ m z ɛ̃
annvoye	ɑ̃ n v õ j
anse	ã s
antene	ã t ɛ n
antoenne	ɑ̃ t w ɛ n
antwène	ɑ̃ t w ɛ n
antône	ɑ̃ t o n
artur	a ʀ t y ʀ
assesse	a s ɛ s
astire	a s t i ʀ
astride	a s t ʀ i t
aurèlîye	oː ʀ ɛ l iː j
awan	a w ã
azerbaydjan	a z ɛ ʀ b ɛ d͡ʒ ã
azeye	a z ɛ j
babete	b a b ɛ t
badjomé	b a d͡ʒ ɔ m e
baidjo	b ɛ d͡ʒ o
bailou	b ɛ l u
barbåde	b a ʀ b ɔː t
baronveye	b a ʀ ɔ̃ v ɛ j
bassindje	b a s ɛ̃ t͡ʃ
bastogne	b a s t ɔ ɲ
bastyin	b a s t j ɛ̃
bastén	b a s t ẽ
batisse	b a t i s
bebert	b ɛ b ɛ ʀ
bedje	b ɛ t͡ʃ
beldjike	b ɛ l d͡ʒ i k
beleul	b ɛ l ø l
belfroed	b ɛ l f ʀ w ɛ
belgråde	b ɛ l ɡ ʀ ɔː t
benoet	b ɛ n w ɛ
bernissåt	b ɛ ʀ n i s ɔː
bert	b ɛ ʀ
bertine	b ɛ ʀ t i n
beurdene	b ø ʀ d ɛ n
beyatrice	b ɛ j a t ʀ i s
biarin	b j a ʀ ɛ̃
bierlô	b j ɛ ʀ l oː
biernåd	b j ɛ ʀ n ɔː
biernådete	b j ɛ ʀ n ɔː d ɛ t
biernî	b j ɛ ʀ n iː
biertogne	b j ɛ ʀ t ɔ ɲ
bietlete	b j ɛ l ɛ t
bietmé	b j ɛ m e
bietrand	b j ɛ t ʀ ã
bietris	b j ɛ t ʀ i
bietrumé	b j ɛ t ʀ y m e
bili	b i l i
binamé	b i n a m e
bince	b ɛ̃ s
biou	b j u
bixhrou	b i ʃ ʀ uː
biômont	b j oː m ɔ̃
bjén	b ʒ ẽ
blegné	b l ɛ ɲ e
blémont	b l e m ɔ̃
bnoet	b n w ɛ
bodî	b ɔ d iː
boledjî	b ɔ l ɛ d͡ʒ iː
bolindje	b ɔ l ɛ̃ t͡ʃ
bonene	b ɔ n ɛ n
boudje	b u t͡ʃ
boumål	b u m ɔː l
bounveye	b u n v ɛ j
bouxhonveye	b u ʃ ɔ̃ v ɛ j
bouyon	b u j ɔ̃
bovesse	b ɔ v ɛ s
bovreye	b ɔ v ʀ ɛ j
bovî	b ɔ v iː
braezi	b ʀ ɛ z i
bragård	b ʀ a ɡ ɔː ʀ
braive	b ʀ ɛ f
bressene	b ʀ ɛ s ɛ n
