'cha	t͡ʃ aː
'cham	t͡ʃ a m
'chas	t͡ʃ a z
'chote	t͡ʃ ɔː t
'chull	t͡ʃ ʊ l
'ngish	ŋ ɡ ɪ ʃ
'ote	ɔː t
'twas	t w a z
'twode	t w oː d
aagar	aː ɡ ə r
aager	aː x ə r
aake	aː k
aalhouse	aː l h uː s
aam	a m
aamzil	aː m z ɪ l
aany	a n iː
aar	a r
aar's	aː r z
aare	aː r
abeit	a b iː t
ableentoun	a b l iː n t uː n
aboo	ə b uː
abut	ə b uː t ə n
acte	a k t
adee	aː d iː
adh	a d
aferdth	ə f e̞ r d
after	a f t̪ ə r
agone	ə ɡ ɔː n
agree	ə ɡ r iː
agyne	ə ɡ a i̯ n
agyther	ə ɡ ɪ ð ə r
aim	eː m
alane	ə l aː n
alike	ə l iː k
almostly	a l m ɔː s t l iː
aloghe	ə l ɔː x
alomes	a l ə m z
amach	a m ə k
amain	aː m eː n
amaluck	ɑ m l ə k
amang	m a ŋ
amaroon	a m ə r uː n
ameal	ə m ɛː l
ameing	aː m ɪ ŋ
ameve	ə m iː v
amhyne	ə m a i̯ n
amize	ə m a i̯ z
an	a n
anaate	ə n aː t
angerth	a ŋ ɡ ə r t̪
angish	a ŋ ɡ ɪ ʃ
anoor	ə n uː r
anooree	ə n oː r iː
ap	a p
apan	a p a n
ar	a r
aracaun	eː r ə k ɑ n
arent	ə r ɛ n t
arich	a r ɪ t͡ʃ
arkagh	a r k ə x
armeen	a r m iː n
arnaauneen	a r n ɑː n iː n
arraugh	a r ɔː
arri	a r iː
arrm	a r m
arum	ə r ʊ m
ashen	a ʃ ə n
aslepe	ə s l iː p
astarte	ə s t a r t
at	a t
atheen	aː t̪ iː n
attercop	a t ə r k ɔ p
aught	aː x t
aul	a l
aulaveer	ɑː l ə v ɛː r
avancet	ə v a n s t
avar	a v a r
aveel	ə v iː l
awye	ə w a i̯
aye	eː
ayenst	ə j ɛ n s t
ayght	eː x t
ayghteen	eː x t iː n
ayth	eː t̪
az	a z
ba	b
baailey	b a i̯ l iː
baak	b a r k
baake	b aː k
baakhooses	b aː k uː z ə z
baakooze	b aː k uː z
baakoozee	b aː k uː z iː
baalee	b aː l iː
baam	b aː m
baar	b aː r
baaree	b aː r iː
